license_text,yolo_confidence,ocr_confidence
YD24458,0.68,"[0.9818082451820374, 0.6633918881416321, 0.9987027645111084, 0.98579341173172, 0.9502676129341125, 0.3777789771556854, 0.28899917006492615, 0.9524092078208923, 0.9999810457229614]"
YD24EUN,0.60,"[0.957110583782196, 0.4662518799304962, 0.9999843835830688, 0.7366063594818115, 0.9998608827590942, 0.9822584390640259, 0.5034926533699036, 0.8294839262962341, 0.9999817609786987]"
YO24EON,0.66,"[0.9870375394821167, 0.4601094126701355, 0.9934166669845581, 0.9928320646286011, 0.9968718886375427, 0.6100214123725891, 0.49507322907447815, 0.999758780002594, 0.9999998807907104]"
YO24EOJ,0.68,"[0.9650839567184448, 0.8231415748596191, 0.9756431579589844, 0.9882422089576721, 0.9799956679344177, 0.4014740288257599, 0.39434972405433655, 0.9998914003372192, 0.9999943971633911]"
YO24EQU,0.64,"[0.9403492212295532, 0.7392932176589966, 0.998979389667511, 0.9983482360839844, 0.9995999932289124, 0.9091134667396545, 0.9984080195426941, 0.9999828338623047, 0.9999984502792358]"
YD24EOU,0.66,"[0.8621229529380798, 0.7122820019721985, 0.9990713596343994, 0.9994804263114929, 0.9998902082443237, 0.8346153497695923, 0.9969559907913208, 0.9999045133590698, 0.9999974966049194]"
YO24ECU,0.71,"[0.9894320964813232, 0.740757405757904, 0.9987432360649109, 0.9999693632125854, 0.9693925976753235, 0.771181046962738, 0.9935146570205688, 0.9999958276748657, 0.9999953508377075]"
YD24CCO,0.67,"[0.993267297744751, 0.6659491062164307, 0.9838367104530334, 0.9959264993667603, 0.6923946142196655, 0.8308573365211487, 0.5006215572357178, 0.9998623132705688, 0.9999630451202393]"
YO24ENI,0.65,"[0.997582197189331, 0.8960933089256287, 0.9994902610778809, 0.9996515512466431, 0.8975762724876404, 0.5328447818756104, 0.4843709170818329, 0.9998464584350586, 0.9999315738677979]"
TO24EDM,0.64,"[0.7440835237503052, 0.8249496221542358, 0.9792072176933289, 0.9995076656341553, 0.9980510473251343, 0.5183708071708679, 0.2321637123823166, 0.9902980923652649, 0.9998750686645508]"
YO24EDN,0.54,"[0.7544389963150024, 0.8019428849220276, 0.9263057112693787, 0.9976930022239685, 0.9986420273780823, 0.9194665551185608, 0.23552510142326355, 0.9719887375831604, 0.9999091625213623]"
VU24EOT,0.54,"[0.9752035140991211, 0.941761314868927, 0.8931402564048767, 0.994766116142273, 0.9391751289367676, 0.4665301740169525, 0.5694050788879395, 0.8421004414558411, 0.9991459846496582]"
V044CCJ,0.62,"[0.8554474115371704, 0.3270919620990753, 0.3248610198497772, 0.7650228142738342, 0.18859454989433289, 0.15845206379890442, 0.4594855010509491, 0.8866717219352722, 0.9993758797645569]"
YG24EII,0.59,"[0.9763685464859009, 0.4284939765930176, 0.7326290011405945, 0.9897013902664185, 0.7388625741004944, 0.23081260919570923, 0.5218650698661804, 0.9777933955192566, 0.9983660578727722]"
Y024EDU,0.60,"[0.9780789017677307, 0.3786502182483673, 0.6860941648483276, 0.9398429989814758, 0.7026102542877197, 0.1374817192554474, 0.31687650084495544, 0.9696411490440369, 0.9992901086807251]"
YO24EEI,0.56,"[0.4231937825679779, 0.5073289275169373, 0.665203869342804, 0.9925881028175354, 0.9916724562644958, 0.564744770526886, 0.41241317987442017, 0.4801321029663086, 0.998521625995636]"
YO24EDJ,0.55,"[0.5285316705703735, 0.6594370007514954, 0.8406501412391663, 0.990896999835968, 0.989910900592804, 0.26394614577293396, 0.44749003648757935, 0.9599611759185791, 0.9994496703147888]"
AAK8888,0.57,"[0.32274478673934937, 0.27612215280532837, 0.19792373478412628, 0.20777678489685059, 0.8989283442497253, 0.8582730293273926, 0.729858934879303, 0.8424333930015564, 0.9981971383094788]"
BA28088,0.59,"[0.3921603858470917, 0.3143061399459839, 0.9349750280380249, 0.6892672777175903, 0.9383447766304016, 0.6257985234260559, 0.7564508318901062, 0.7775869369506836, 0.9998205304145813]"
A720GGU,0.53,"[0.9979091286659241, 0.500207781791687, 0.9983569979667664, 0.9342941641807556, 0.5345258116722107, 0.6252699494361877, 0.9288870692253113, 0.9253766536712646, 0.9999805688858032]"
AY20GSU,0.65,"[0.9990634322166443, 0.42524027824401855, 0.9993658661842346, 0.36265143752098083, 0.22335174679756165, 0.877490758895874, 0.9565057754516602, 0.7034681439399719, 0.9999951124191284]"
NV20QSU,0.57,"[0.5498237609863281, 0.9017378091812134, 0.9926522970199585, 0.921018123626709, 0.8824505805969238, 0.9989871382713318, 0.9801616668701172, 0.9992995262145996, 0.9999995231628418]"
NV20GSU,0.62,"[0.940485954284668, 0.9535617828369141, 0.9940668344497681, 0.7988599538803101, 0.8523184061050415, 0.9967854022979736, 0.4226335883140564, 0.9996180534362793, 0.9999967813491821]"
AV20GSO,0.56,"[0.5133625268936157, 0.9654582738876343, 0.9992306232452393, 0.6566395163536072, 0.5412208437919617, 0.9974464178085327, 0.391762912273407, 0.9992935657501221, 0.9999973773956299]"
NV20GSO,0.55,"[0.6999304890632629, 0.9013493657112122, 0.9998577833175659, 0.9088900685310364, 0.6238648295402527, 0.9991165995597839, 0.4250590205192566, 0.9997090697288513, 0.9999980926513672]"
AV20GSM,0.58,"[0.6593725085258484, 0.9804449081420898, 0.9997115731239319, 0.9159702062606812, 0.8152021765708923, 0.9995618462562561, 0.6563601493835449, 0.9653462767601013, 0.9999843835830688]"
N920GSV,0.59,"[0.6391556859016418, 0.9698412418365479, 0.9999934434890747, 0.9709157347679138, 0.8170084357261658, 0.999889612197876, 0.3397018313407898, 0.9848353862762451, 0.9999325275421143]"
AV20GSN,0.53,"[0.9892618656158447, 0.9676856994628906, 0.9999691247940063, 0.9749302268028259, 0.9745882153511047, 0.9999792575836182, 0.5091264247894287, 0.9747543334960938, 0.9999951124191284]"
AY311R1,0.63,"[0.7757461667060852, 0.520179033279419, 0.9723377823829651, 0.8285772204399109, 0.15915848314762115, 0.2875514030456543, 0.30670422315597534, 0.943477213382721, 0.9996519088745117]"
AY10GGA,0.60,"[0.9911995530128479, 0.876337468624115, 0.8133469820022583, 0.3916609287261963, 0.705197811126709, 0.1665978580713272, 0.1332319676876068, 0.8992897272109985, 0.9999686479568481]"
AY18011,0.51,"[0.9793197512626648, 0.9964920878410339, 0.5335890650749207, 0.12372761964797974, 0.1800847053527832, 0.24807430803775787, 0.38676759600639343, 0.972176194190979, 0.9999434947967529]"
FINI541,0.55,"[0.574499249458313, 0.340837687253952, 0.21144576370716095, 0.1455666571855545, 0.14162857830524445, 0.17705795168876648, 0.3603883981704712, 0.7851471304893494, 0.993759036064148]"
PN51AAH,0.59,"[0.4460963308811188, 0.5670795440673828, 0.4657721221446991, 0.19918714463710785, 0.437845379114151, 0.3704533278942108, 0.11405076086521149, 0.9691748023033142, 0.9998082518577576]"
FM75ATO,0.55,"[0.9990308284759521, 0.7542795538902283, 0.6355003118515015, 0.9983037710189819, 0.7027932405471802, 0.647315263748169, 0.46536415815353394, 0.9999786615371704, 0.9999889135360718]"
FM55AWO,0.53,"[0.8232266306877136, 0.9778328537940979, 0.7212476134300232, 0.9240013360977173, 0.4403687119483948, 0.10081428289413452, 0.7706392407417297, 0.999004065990448, 0.9999531507492065]"
TM85ATP,0.62,"[0.6350842118263245, 0.7901231050491333, 0.5235100388526917, 0.9966861605644226, 0.9534034729003906, 0.4306042492389679, 0.3337622880935669, 0.998548686504364, 0.9999716281890869]"
P115ATJ,0.71,"[0.9363657832145691, 0.6959614157676697, 0.5986641049385071, 0.9694412350654602, 0.34227925539016724, 0.3111918270587921, 0.15154483914375305, 0.9515419006347656, 0.9978933930397034]"
F115MTD,0.69,"[0.9997246861457825, 0.36896565556526184, 0.7174435257911682, 0.9275069236755371, 0.6338261365890503, 0.375855416059494, 0.2634951174259186, 0.9923438429832458, 0.9991586208343506]"
FE15A11,0.72,"[0.9998306035995483, 0.34279417991638184, 0.41985082626342773, 0.9158449172973633, 0.31758540868759155, 0.38950249552726746, 0.30389225482940674, 0.5304073095321655, 0.9985053539276123]"
E749A77,0.69,"[0.8171502351760864, 0.3786150813102722, 0.34961724281311035, 0.9741655588150024, 0.20982113480567932, 0.18075509369373322, 0.31024330854415894, 0.7155722975730896, 0.9935637712478638]"
GWQW01A,0.53,"[0.6767532825469971, 0.22868718206882477, 0.2200506031513214, 0.13368982076644897, 0.18089915812015533, 0.6900394558906555, 0.28997287154197693, 0.9689662456512451, 0.9995563626289368]"
GP14PVD,0.60,"[0.5948836803436279, 0.9214603304862976, 0.43536701798439026, 0.9578812718391418, 0.8656561374664307, 0.8646584153175354, 0.16685059666633606, 0.9981443881988525, 0.9999988079071045]"
SP14PVV,0.65,"[0.944654107093811, 0.5405829548835754, 0.9987082481384277, 0.8570864200592041, 0.9341604709625244, 0.9297451376914978, 0.6881088614463806, 0.9836879968643188, 0.9999982118606567]"
SW14PVV,0.73,"[0.9841448664665222, 0.25979265570640564, 0.7214056253433228, 0.9896028637886047, 0.998627781867981, 0.9603860378265381, 0.8412787318229675, 0.9994446635246277, 0.999993085861206]"
SP14PWU,0.68,"[0.9998985528945923, 0.7438102960586548, 0.9324280023574829, 0.9561846852302551, 0.9992958307266235, 0.6955900192260742, 0.8602360486984253, 0.9998760223388672, 0.9999984502792358]"
5P14PVU,0.68,"[0.877973198890686, 0.9662047624588013, 0.9089661836624146, 0.9952054023742676, 0.9707058668136597, 0.9579085111618042, 0.6809755563735962, 0.9991427659988403, 0.9999991655349731]"
973PPVV,0.69,"[0.9149603247642517, 0.3385627269744873, 0.28737565875053406, 0.39063528180122375, 0.8364898562431335, 0.4874308109283447, 0.23148372769355774, 0.929596483707428, 0.9999104738235474]"
PHV11,0.63,"[0.09309682995080948, 0.18417522311210632, 0.15466392040252686, 0.2819148004055023, 0.35679927468299866, 0.49293631315231323, 0.981063961982727, 0.9989913105964661, 0.999909520149231]"
1111W,0.60,"[0.5465733408927917, 0.31553804874420166, 0.8687362670898438, 0.21895582973957062, 0.1326841413974762, 0.25150012969970703, 0.6910589337348938, 0.9653612375259399, 0.9977495074272156]"
KA01PMC,0.64,"[0.9556848406791687, 0.46267715096473694, 0.3725154995918274, 0.3667891323566437, 0.7289137244224548, 0.1685858964920044, 0.21219952404499054, 0.8815194368362427, 0.9961124062538147]"
KB30PWW,0.55,"[0.5822486877441406, 0.2762015461921692, 0.2616889476776123, 0.4778095483779907, 0.2421029657125473, 0.1626208871603012, 0.5454139709472656, 0.5595088601112366, 0.9993042945861816]"
L000DWW,0.66,"[0.8752202391624451, 0.22267544269561768, 0.27585774660110474, 0.6553337574005127, 0.16690249741077423, 0.8161457777023315, 0.32334357500076294, 0.9341135621070862, 0.9981562495231628]"
L810DWW,0.65,"[0.8883471488952637, 0.34905850887298584, 0.8800209760665894, 0.5475582480430603, 0.7853875160217285, 0.7398877143859863, 0.386614054441452, 0.7326911687850952, 0.9884823560714722]"
LT15DWK,0.61,"[0.9746251106262207, 0.3862496316432953, 0.4328218996524811, 0.7891778945922852, 0.7001867890357971, 0.9478839635848999, 0.7206290364265442, 0.9968996047973633, 0.9954892992973328]"
LD16DNK,0.57,"[0.9590071439743042, 0.9021250009536743, 0.999398946762085, 0.4400706887245178, 0.9931820034980774, 0.47022008895874023, 0.9398279190063477, 0.9998884201049805, 0.9999822378158569]"
1016DMK,0.65,"[0.5416213274002075, 0.518079400062561, 0.998878538608551, 0.9989781379699707, 0.992673933506012, 0.5179296731948853, 0.9268105626106262, 0.9998113512992859, 0.9999704360961914]"
L016DWW,0.67,"[0.9849836230278015, 0.5892873406410217, 0.9948660135269165, 0.9914445281028748, 0.9929293990135193, 0.911101758480072, 0.7513926029205322, 0.9995447993278503, 0.9999328851699829]"
L016DWK,0.69,"[0.9871112704277039, 0.8300186395645142, 0.9971862435340881, 0.9804642796516418, 0.9675988554954529, 0.3723941147327423, 0.9973272085189819, 0.9998905658721924, 0.999871015548706]"
LD1GDWK,0.71,"[0.9999263286590576, 0.9992658495903015, 0.9813401103019714, 0.7495887279510498, 0.9729246497154236, 0.3248535692691803, 0.979560911655426, 0.9904604554176331, 0.9992609620094299]"
LD16BHK,0.76,"[0.9967807531356812, 0.9811766743659973, 0.999841570854187, 0.8817974328994751, 0.9610217809677124, 0.9109383225440979, 0.996278703212738, 0.9976637363433838, 0.9999581575393677]"
LW8BCKK,0.72,"[0.9989961981773376, 0.18548820912837982, 0.6958380937576294, 0.2544505298137665, 0.2107679843902588, 0.38590356707572937, 0.5474118590354919, 0.9997389912605286, 0.99994957447052]"
E125MHM,0.72,"[0.2868092656135559, 0.6844009757041931, 0.3279348611831665, 0.6058976650238037, 0.5741066932678223, 0.35446348786354065, 0.21983475983142853, 0.39297518134117126, 0.9209353923797607]"
MG19XJW,0.71,"[0.44573691487312317, 0.9629534482955933, 0.8426491618156433, 0.9893248677253723, 0.8438363075256348, 0.30941087007522583, 0.5214664340019226, 0.9980800151824951, 0.9999712705612183]"
N819XJJ,0.69,"[0.7412697076797485, 0.165056511759758, 0.2500148415565491, 0.35191279649734497, 0.33478811383247375, 0.8455909490585327, 0.3593633472919464, 0.8311678171157837, 0.9998131394386292]"
NG13NWY,0.72,"[0.409485787153244, 0.7591512799263, 0.4597540497779846, 0.8788182735443115, 0.309180349111557, 0.18482840061187744, 0.2006533145904541, 0.9477963447570801, 0.9998090863227844]"
WG17XA5,0.70,"[0.9848184585571289, 0.8651984930038452, 0.8935210704803467, 0.4925115704536438, 0.9824565649032593, 0.19400903582572937, 0.19658029079437256, 0.7755634188652039, 0.9996578693389893]"
XC6934A,0.66,"[0.7224255204200745, 0.338257372379303, 0.2810400724411011, 0.16817772388458252, 0.4939742684364319, 0.28606513142585754, 0.38646385073661804, 0.2910920977592468, 0.9143143892288208]"
AA88NNA,0.52,"[0.5501023530960083, 0.2841825783252716, 0.3474709093570709, 0.38452422618865967, 0.4292159080505371, 0.277364581823349, 0.19711898267269135, 0.8609730005264282, 0.9932489395141602]"
II58MMA,0.52,"[0.25262749195098877, 0.5001801252365112, 0.45398324728012085, 0.7566629648208618, 0.6185571551322937, 0.8051556944847107, 0.2201540768146515, 0.6273834705352783, 0.9917347431182861]"
DEGRNMA,0.57,"[0.36725950241088867, 0.20557299256324768, 0.24238067865371704, 0.2431163787841797, 0.38592642545700073, 0.20798934996128082, 0.3418430685997009, 0.34269317984580994, 0.9630371332168579]"
DL4NN11,0.61,"[0.44484642148017883, 0.5644065141677856, 0.6941245794296265, 0.3877841830253601, 0.5203102827072144, 0.42030754685401917, 0.46898022294044495, 0.7394780516624451, 0.8463892340660095]"
WL46NII,0.69,"[0.3226091265678406, 0.7742956280708313, 0.3441895842552185, 0.18797124922275543, 0.9746707677841187, 0.3337540030479431, 0.40759095549583435, 0.597101092338562, 0.9988502264022827]"
8L5NNII,0.70,"[0.6392616033554077, 0.9891487956047058, 0.30727121233940125, 0.532217264175415, 0.9866024255752563, 0.3175268769264221, 0.5003623366355896, 0.912960410118103, 0.9999074935913086]"
8LE8NWI,0.69,"[0.6711068153381348, 0.9908445477485657, 0.47156020998954773, 0.394100546836853, 0.713843047618866, 0.5443856716156006, 0.30714717507362366, 0.3732844889163971, 0.9999439716339111]"
BL68NWA,0.71,"[0.5400106906890869, 0.9845484495162964, 0.93536376953125, 0.4893525242805481, 0.5539239048957825, 0.45159822702407837, 0.46553224325180054, 0.9888049364089966, 0.999958872795105]"
BL66NMA,0.69,"[0.964023232460022, 0.9933798313140869, 0.9718548655509949, 0.4279726445674896, 0.6782096028327942, 0.7551504373550415, 0.6175352931022644, 0.8622154593467712, 0.9996674060821533]"
BL66MMA,0.69,"[0.9952698349952698, 0.999244213104248, 0.9972018003463745, 0.8042102456092834, 0.7472052574157715, 0.9970452189445496, 0.5587696433067322, 0.9999966621398926, 1.0]"
88658KK,0.66,"[0.5355827808380127, 0.5199163556098938, 0.692334771156311, 0.983322262763977, 0.6715564727783203, 0.2979966402053833, 0.48296424746513367, 0.8952745795249939, 0.9998971223831177]"
A149WH7,0.55,"[0.7747157216072083, 0.301337867975235, 0.45129674673080444, 0.16734999418258667, 0.6309149265289307, 0.1458805352449417, 0.3735467195510864, 0.9220055341720581, 0.9822285771369934]"
A141WA7,0.61,"[0.7517951726913452, 0.4683046340942383, 0.611659586429596, 0.37933871150016785, 0.7347322106361389, 0.18100866675376892, 0.11419988423585892, 0.8357554078102112, 0.9706900119781494]"
A11WAA1,0.60,"[0.526061475276947, 0.19272223114967346, 0.15117421746253967, 0.2533421516418457, 0.14232154190540314, 0.1535593420267105, 0.6465045809745789, 0.8633133769035339, 0.9913579225540161]"
AV0WAA1,0.62,"[0.58705073595047, 0.30881303548812866, 0.15823084115982056, 0.17333385348320007, 0.1886274665594101, 0.2179328352212906, 0.4056541919708252, 0.7418012022972107, 0.9885249733924866]"
AV0W111,0.64,"[0.9326982498168945, 0.3226778209209442, 0.178023099899292, 0.22336803376674652, 0.1791759431362152, 0.23546618223190308, 0.4454960227012634, 0.949154794216156, 0.9985721111297607]"
AYC8988,0.66,"[0.9966245889663696, 0.7219358086585999, 0.22878757119178772, 0.23906508088111877, 0.19514267146587372, 0.27034875750541687, 0.15582655370235443, 0.5698626041412354, 0.9947223663330078]"
AYN1M10,0.63,"[0.983346700668335, 0.9941794872283936, 0.9932178854942322, 0.6925202012062073, 0.5956610441207886, 0.18206843733787537, 0.3569193482398987, 0.9995829463005066, 0.999991774559021]"
AV04KXO,0.63,"[0.9913530945777893, 0.6901116371154785, 0.6250788569450378, 0.8461447358131409, 0.3455088436603546, 0.08837944269180298, 0.5181670188903809, 0.9835366606712341, 0.99973064661026]"
AW8BX10,0.68,"[0.9899511933326721, 0.6331055760383606, 0.21257467567920685, 0.35937750339508057, 0.3119847774505615, 0.21259631216526031, 0.511949896812439, 0.9962194561958313, 0.9996198415756226]"
AY08MAO,0.69,"[0.986294686794281, 0.9780364632606506, 0.88968825340271, 0.31595370173454285, 0.9226608276367188, 0.21509021520614624, 0.35021618008613586, 0.9312870502471924, 0.9955731630325317]"
AY03NAO,0.60,"[0.9831716418266296, 0.9953363537788391, 0.7927327156066895, 0.4153268039226532, 0.4039240777492523, 0.7891314625740051, 0.30413493514060974, 0.9830183982849121, 0.9995644688606262]"
AY83AAD,0.63,"[0.33972808718681335, 0.9839308857917786, 0.40363049507141113, 0.25277671217918396, 0.20090524852275848, 0.8723399043083191, 0.35835736989974976, 0.9619046449661255, 0.9992581009864807]"
AY67KAD,0.63,"[0.9776041507720947, 0.9978366494178772, 0.9846934080123901, 0.8226907849311829, 0.7119325399398804, 0.996639609336853, 0.4154606759548187, 0.9969871640205383, 0.9998013377189636]"
AY61KAD,0.67,"[0.9389130473136902, 0.9975983500480652, 0.631669282913208, 0.5437057614326477, 0.5077109932899475, 0.9948962330818176, 0.80326908826828, 0.9956313371658325, 0.999913215637207]"
AY67KAO,0.69,"[0.8839265704154968, 0.9991893172264099, 0.7842309474945068, 0.394065260887146, 0.5948953032493591, 0.9995884299278259, 0.8798086047172546, 0.9941031336784363, 0.9997451901435852]"
AY58NAO,0.68,"[0.9855216145515442, 0.9290345907211304, 0.46216270327568054, 0.40298745036125183, 0.56907057762146, 0.39102333784103394, 0.4132642149925232, 0.9982220530509949, 0.9999326467514038]"
AY68KAO,0.69,"[0.992892861366272, 0.9966867566108704, 0.9946488738059998, 0.9972090125083923, 0.9907439351081848, 0.9608351588249207, 0.9558945894241333, 0.9998183846473694, 0.9997878670692444]"
AY68KAD,0.68,"[0.9989702701568604, 0.9991642236709595, 0.9692497253417969, 0.777347981929779, 0.9992983341217041, 0.8248814344406128, 0.4989852011203766, 0.9996626377105713, 0.9999938011169434]"
AY69341,0.71,"[0.9994663596153259, 0.9945510029792786, 0.8917211294174194, 0.9496151804924011, 0.5086387991905212, 0.7166675925254822, 0.25559040904045105, 0.9731849431991577, 0.9997690320014954]"
KY68K3B,0.67,"[0.38960763812065125, 0.6628167629241943, 0.993681788444519, 0.8100199699401855, 0.4549546241760254, 0.22845116257667542, 0.2517712712287903, 0.6676087379455566, 0.99989914894104]"
AYG8XA4,0.71,"[0.9817796349525452, 0.9802013039588928, 0.6053130030632019, 0.6807164549827576, 0.4352045953273773, 0.6430377960205078, 0.20618832111358643, 0.9792851805686951, 0.9999979734420776]"
A3666HA,0.66,"[0.3687267303466797, 0.32060936093330383, 0.46795812249183655, 0.2028658390045166, 0.22370190918445587, 0.3080262839794159, 0.5358285307884216, 0.3827579617500305, 0.9827425479888916]"
A12G684,0.78,"[0.5809876918792725, 0.2275879830121994, 0.20405210554599762, 0.41793277859687805, 0.23678867518901825, 0.24444268643856049, 0.2627406418323517, 0.39883512258529663, 0.9152749180793762]"
RX89988,0.70,"[0.36370810866355896, 0.8409332036972046, 0.31380534172058105, 0.3877057433128357, 0.38320061564445496, 0.2538352310657501, 0.21571096777915955, 0.6789613962173462, 0.9959141612052917]"
AU55LVQ,0.56,"[0.9681512117385864, 0.49858173727989197, 0.7639710307121277, 0.9431713223457336, 0.3047918379306793, 0.46433380246162415, 0.6908119916915894, 0.9383288025856018, 0.9994423985481262]"
B155DVQ,0.63,"[0.26640164852142334, 0.3341902196407318, 0.9628589153289795, 0.967340350151062, 0.27288568019866943, 0.8443587422370911, 0.9834128618240356, 0.9919224977493286, 0.9995433688163757]"
AU65DVQ,0.58,"[0.3960936665534973, 0.4611329138278961, 0.9923933744430542, 0.4893206059932709, 0.7349538207054138, 0.6657482981681824, 0.9092838168144226, 0.9943225383758545, 0.9999901056289673]"
AU65DWO,0.65,"[0.940983772277832, 0.9858973026275635, 0.9574790596961975, 0.6535662412643433, 0.9472311735153198, 0.9515537619590759, 0.745898962020874, 0.9989426732063293, 0.9998524188995361]"
AU65UVO,0.71,"[0.9999960660934448, 0.9606586694717407, 0.9861196279525757, 0.9938287138938904, 0.707662045955658, 0.8373984694480896, 0.7717057466506958, 0.9999333620071411, 1.0]"
AU65GVD,0.74,"[0.9999960660934448, 0.9698301553726196, 0.9825945496559143, 0.995964527130127, 0.4756377637386322, 0.9861273765563965, 0.8211643695831299, 0.9999771118164062, 0.9999996423721313]"
AU66DVO,0.75,"[0.9999877214431763, 0.9679601788520813, 0.5212988257408142, 0.9505003690719604, 0.9715508222579956, 0.7441343069076538, 0.9758914709091187, 0.9999220371246338, 0.9999958276748657]"
AUG5190,0.77,"[0.9834817051887512, 0.9763294458389282, 0.9951634407043457, 0.9734825491905212, 0.2714643180370331, 0.31687867641448975, 0.8686990737915039, 0.9962211847305298, 0.9999969005584717]"
A465BVN,0.72,"[0.5124729871749878, 0.9087382555007935, 0.919242262840271, 0.8463158011436462, 0.3031705319881439, 0.2784200608730316, 0.16787220537662506, 0.22121644020080566, 0.998566210269928]"
AAABS35,0.71,"[0.7217878103256226, 0.7866951823234558, 0.2735787332057953, 0.2535213828086853, 0.8477486968040466, 0.09602051228284836, 0.09307104349136353, 0.49277162551879883, 0.9761581420898438]"
HW66XM4,0.56,"[0.33268412947654724, 0.9314813613891602, 0.48221996426582336, 0.9437968730926514, 0.9772849082946777, 0.9789788126945496, 0.3952133357524872, 0.9941629767417908, 0.9999972581863403]"
MK65XNX,0.57,"[0.7284830212593079, 0.28970715403556824, 0.9904663562774658, 0.8136714100837708, 0.9106638431549072, 0.9278108477592468, 0.37800219655036926, 0.9998306035995483, 0.9999995231628418]"
NWV241A,0.57,"[0.27372798323631287, 0.9744967222213745, 0.3050929605960846, 0.4120551347732544, 0.7289401292800903, 0.8334193229675293, 0.3786216080188751, 0.9972434043884277, 0.9999823570251465]"
HNA355A,0.60,"[0.40903979539871216, 0.36303964257240295, 0.17920680344104767, 0.4376108944416046, 0.4631584882736206, 0.6729391813278198, 0.32476067543029785, 0.9655977487564087, 0.9999382495880127]"
HV37EAA,0.56,"[0.7255087494850159, 0.7742891311645508, 0.4499296545982361, 0.9328977465629578, 0.992853581905365, 0.47399917244911194, 0.6396666765213013, 0.7871516346931458, 0.999943733215332]"
HV59EAA,0.63,"[0.9942055344581604, 0.7239512801170349, 0.8392283916473389, 0.9823896884918213, 0.9990963935852051, 0.5153341889381409, 0.24614962935447693, 0.9865104556083679, 0.9998971223831177]"
HV59EQA,0.65,"[0.9990720748901367, 0.8534765243530273, 0.9674229025840759, 0.9984970092773438, 0.999916672706604, 0.41644275188446045, 0.9746622443199158, 0.9996801614761353, 0.999997615814209]"
HV59E0A,0.72,"[0.9996720552444458, 0.8826133608818054, 0.9991136193275452, 0.9980594515800476, 0.9997734427452087, 0.25947192311286926, 0.7284088134765625, 0.9999358654022217, 1.0]"
NV59E04,0.72,"[0.8216250538825989, 0.9369735717773438, 0.9988956451416016, 0.9999290704727173, 0.9975101947784424, 0.641187846660614, 0.5680302977561951, 0.9999841451644897, 1.0]"
HV59E04,0.78,"[0.999426007270813, 0.9739164113998413, 0.9977557063102722, 0.9995328187942505, 0.9675094485282898, 0.5895569920539856, 0.8935791850090027, 0.9999920129776001, 1.0]"
HV59EDA,0.81,"[0.9779239296913147, 0.4114069640636444, 0.9879058599472046, 0.9579125642776489, 0.9945467710494995, 0.555851936340332, 0.43594294786453247, 0.9996042847633362, 0.9999977350234985]"
AV53583,0.73,"[0.4189857244491577, 0.9322192072868347, 0.9998610019683838, 0.6014618873596191, 0.4749552309513092, 0.42491161823272705, 0.2136784940958023, 0.9869106411933899, 0.9999974966049194]"
HV69EUZ,0.76,"[0.9594053030014038, 0.8148064613342285, 0.34212827682495117, 0.9314644932746887, 0.992908239364624, 0.5190406441688538, 0.18302065134048462, 0.9989746809005737, 0.9999959468841553]"
AW14JDC,0.58,"[0.8864523768424988, 0.9605417251586914, 0.6975556015968323, 0.9997933506965637, 0.9074400067329407, 0.4592112898826599, 0.7549810409545898, 0.9993948936462402, 0.9999146461486816]"
AW10JWC,0.52,"[0.8192151784896851, 0.7532002925872803, 0.6183289289474487, 0.3618501126766205, 0.9418326020240784, 0.6142789125442505, 0.6797995567321777, 0.9951322674751282, 0.9998562335968018]"
AV14JVC,0.60,"[0.6116514205932617, 0.6952449083328247, 0.627238392829895, 0.7278022766113281, 0.6401301622390747, 0.7473510503768921, 0.746088981628418, 0.9997281432151794, 0.9999798536300659]"
AV74JVE,0.60,"[0.9637517333030701, 0.8414727449417114, 0.9999216794967651, 0.9988234639167786, 0.9990678429603577, 0.9257583022117615, 0.7667791247367859, 0.9999288320541382, 0.9999967813491821]"
AV74JVC,0.62,"[0.9832491874694824, 0.8393713235855103, 0.9997151494026184, 0.9988260865211487, 0.9997498393058777, 0.5702393651008606, 0.9093178510665894, 0.9999703168869019, 0.9999886751174927]"
BH108RR,0.56,"[0.2819547653198242, 0.23579491674900055, 0.3055243194103241, 0.6332312226295471, 0.19936205446720123, 0.2732040286064148, 0.27688315510749817, 0.8015461564064026, 0.31770217418670654]"
AV74JYC,0.64,"[0.9987323880195618, 0.9285386800765991, 0.9997773766517639, 0.9978039860725403, 0.9999176263809204, 0.7056374549865723, 0.9933653473854065, 0.9999237060546875, 0.9999990463256836]"
AY74JYC,0.70,"[0.9982557892799377, 0.8373810648918152, 0.999731719493866, 0.9556190967559814, 0.9997938275337219, 0.865001916885376, 0.934752345085144, 0.9999101161956787, 0.9999970197677612]"
AY74JYE,0.80,"[0.9998881816864014, 0.8790889382362366, 0.9998257756233215, 0.8895041942596436, 0.9999963045120239, 0.9574021100997925, 0.4534759223461151, 0.9999916553497314, 1.0]"
AY74JVE,0.81,"[0.9995112419128418, 0.9996123909950256, 0.9987177848815918, 0.9996795654296875, 0.977860689163208, 0.8203610181808472, 0.3082393407821655, 0.9998914003372192, 0.9999997615814209]"
88K7338,0.78,"[0.31525927782058716, 0.12772661447525024, 0.19361688196659088, 0.35685428977012634, 0.4052011966705322, 0.30224305391311646, 0.31817978620529175, 0.8394184112548828, 0.9990930557250977]"
